Nr;Stadtteil;Beschaeftigte;Quote;Arbeitslose;Arbeitslosenquote;Jugendarbeitslosenquote
101;Altstadt-Süd;11280;55,1;1205;7,6;6,3
102;Neustadt/Süd;15846;52,8;1401;6,0;2,0
103;Altstadt-Nord;7309;54,5;625;6,0;4,9
104;Neustadt/Nord;11574;54,2;852;5,1;2,0
105;Deutz;6468;57,9;683;7,9;3,7
201;Bayenthal;3294;55,5;288;6,2;2,1
202;Marienburg;1597;41,6;186;6,2;2,8
203;Raderberg;2119;53,5;287;9,3;4,7
204;Raderthal;1574;51,2;171;7,2;2,5
205;Zollstock;8036;52,8;899;7,6;3,9
206;Rondorf;3196;50,8;218;4,5;2,3
207;Hahnwald;392;30,4;26;2,6;0,0
208;Rodenkirchen;4558;47,5;320;4,3;1,1
209;Weiß;1832;51,1;141;5,1;2,6
210;Sürth;3535;51,4;242;4,5;2,4
211;Godorf;838;52,4;117;9,4;5,1
212;Immendorf;733;55,7;71;6,9;2,0
213;Meschenich;1997;38,0;603;14,8;8,2
301;Klettenberg;3930;54,9;234;4,2;2,2
302;Sülz;14692;55,0;955;4,6;2,4
303;Lindenthal;10883;51,9;533;3,3;0,9
304;Braunsfeld;3985;52,1;273;4,6;2,2
305;Müngersdorf;2119;38,9;226;5,3;2,9
306;Junkersdorf;4224;48,3;262;3,9;2,4
307;Weiden;5515;53,1;577;7,1;1,1
308;Lövenich;3001;54,7;174;4,1;2,2
309;Widdersdorf;2763;43,6;177;3,6;3,2
401;Ehrenfeld;15112;54,2;1876;8,7;5,4
402;Neuehrenfeld;9004;54,2;908;7,0;4,8
403;Bickendorf;5696;49,6;1112;12,5;5,8
404;Vogelsang;2822;53,2;334;8,1;2,2
405;Bocklemünd/Mengenich;3056;48,4;770;15,7;9,7
406;Ossendorf;3441;49,7;506;9,4;5,2
501;Nippes;13762;54,3;1154;5,9;4,3
502;Mauenheim;2165;58,0;241;8,3;3,5
503;Riehl;3818;56,4;302;5,7;2,6
504;Niehl;7061;54,0;908;8,9;6,8
505;Weidenpesch;5366;57,2;646;8,9;6,8
506;Longerich;4821;56,2;439;6,6;4,9
507;Bilderstöckchen;5357;52,1;915;11,4;6,4
601;Merkenich;2298;59,0;155;5,1;3,5
602;Fühlingen;784;54,0;19;1,7;1,7
603;Seeberg;3418;48,6;775;14,2;7,0
604;Heimersdorf;1943;57,0;134;5,1;3,1
605;Lindweiler;1003;48,2;245;15,2;12,4
606;Pesch;2601;57,7;196;5,6;2,8
607;Esch/Auweiler;2319;54,1;151;4,5;2,8
608;Volkhoven/Weiler;2234;51,6;318;9,4;7,2
609;Chorweiler;3310;40,3;1358;21,3;10,5
610;Blumenberg;2299;54,3;203;6,2;3,6
611;Roggendorf/Thenhoven;1434;51,2;275;12,6;9,7
612;Worringen;3402;54,9;366;7,6;5,8
701;Poll;4005;53,8;470;8,1;7,7
702;Westhoven;1764;53,8;186;7,3;7,2
703;Ensen;2569;53,7;320;8,6;5,8
704;Gremberghoven;826;42,9;282;18,8;11,8
705;Eil;3148;54,1;489;10,8;8,3
706;Porz;4816;50,3;866;11,6;7,6
707;Urbach;4268;54,9;661;10,9;6,4
708;Elsdorf;517;53,6;40;5,3;5,9
709;Grengel;1812;51,0;287;10,4;7,8
710;Wahnheide;3003;57,5;410;10,1;7,1
711;Wahn;2326;52,9;282;8,2;6,3
712;Lind;1277;55,4;186;10,4;9,6
713;Libur;427;57,0;20;3,4;1,8
714;Zündorf;4050;53,0;421;7,1;4,9
715;Langel;1232;56,4;93;5,5;4,5
716;Finkenberg;1582;38,5;638;20,0;11,6
801;Humboldt/Gremberg;5221;49,4;1295;15,8;9,1
802;Kalk;7324;44,4;2163;16,9;8,1
803;Vingst;3775;45,7;1120;17,4;9,2
804;Höhenberg;4173;49,5;1050;16,0;9,5
805;Ostheim;3373;44,2;1135;19,2;13,0
806;Merheim;3391;48,3;400;7,3;4,9
807;Brück;3270;52,6;329;6,8;8,3
808;Rath/Heumar;4007;55,0;297;5,2;4,0
809;Neubrück;2358;46,6;623;15,8;10,1
901;Mülheim;14496;49,1;3553;15,5;10,2
902;Buchforst;2488;50,8;609;16,0;12,1
903;Buchheim;4203;48,3;986;14,6;7,6
904;Holweide;7666;53,8;1289;11,6;8,5
905;Dellbrück;7584;55,3;733;6,9;3,7
906;Höhenhaus;4976;52,4;722;9,8;7,3
907;Dünnwald;3821;51,2;708;12,2;8,8
908;Stammheim;2421;53,1;377;10,6;7,8
909;Flittard;2739;55,3;379;9,8;10,7
