Nr.;Stadtteil;Einwohner insgesamt;Männer;Frauen;Deutsche;Ausländer-/innen
101;Altstadt-Süd;42,1;41,8;42,3;42,2;41,5
102;Neustadt-Süd;38,7;38,8;38,6;38,5;39,9
103;Altstadt-Nord;42,4;41,6;43,1;43,1;39,7
104;Neustadt-Nord;41,2;41,3;41,1;41,0;42,5
105;Deutz;41,8;40,7;42,9;42,2;39,6
201;Bayenthal;42,2;41,1;43,2;42,4;40,8
202;Marienburg;43,5;42,9;44,1;44,2;40,2
203;Raderberg;41,5;40,2;42,7;41,7;40,4
204;Raderthal;45,3;44,7;45,9;45,9;40,7
205;Zollstock;42,8;41,5;43,9;43,1;40,5
206;Rondorf;44,6;43,3;45,7;45,1;39,9
207;Hahnwald;44,3;44,3;44,2;44,8;39,7
208;Rodenkirchen;48,0;46,0;49,7;49,0;39,7
209;Weiß;45,5;44,8;46,2;45,7;43,9
210;Sürth;42,1;40,8;43,3;42,0;42,8
211;Godorf;42,1;40,4;44,1;44,6;34,4
212;Immendorf;43,4;41,3;45,4;44,3;37,0
213;Meschenich;39,3;39,3;39,3;40,9;36,9
301;Klettenberg;42,6;41,7;43,4;42,7;41,7
302;Sülz;40,6;39,6;41,4;40,7;39,5
303;Lindenthal;41,9;40,8;42,9;42,3;38,8
304;Braunsfeld;42,6;41,5;43,5;42,8;40,6
305;Müngersdorf;43,3;42,0;44,5;44,6;36,3
306;Junkersdorf;41,4;40,7;42,0;41,5;40,1
307;Weiden;45,6;44,1;47,0;46,8;39,1
308;Lövenich;44,4;43,6;45,1;44,6;41,7
309;Widdersdorf;38,1;37,1;38,9;38,0;38,5
401;Ehrenfeld;39,2;39,2;39,2;38,4;42,3
402;Neuehrenfeld;41,2;40,4;42,1;41,2;41,3
403;Bickendorf;40,6;39,9;41,4;41,0;39,6
404;Vogelsang;44,1;43,1;45,1;44,4;42,2
405;Bocklemünd/Mengenich;43,5;42,2;44,7;44,8;38,8
406;Ossendorf;38,5;37,6;39,4;38,2;40,1
501;Nippes;40,4;39,8;40,8;39,8;43,1
502;Mauenheim;42,6;41,2;43,9;42,7;41,7
503;Riehl;48,2;45,8;50,3;49,3;42,7
504;Niehl;41,9;41,1;42,7;42,0;41,5
505;Weidenpesch;43,3;42,2;44,3;43,9;40,9
506;Longerich;45,5;44,0;46,9;46,0;42,1
507;Bilderstöckchen;39,5;39,0;39,9;39,3;39,9
601;Merkenich;43,0;42,8;43,1;43,5;39,7
602;Fühlingen;43,9;42,8;44,9;43,7;46,1
603;Seeberg;41,6;40,3;42,7;41,1;42,6
604;Heimersdorf;49,2;46,9;51,2;49,7;44,0
605;Lindweiler;44,0;43,0;45,0;44,3;42,7
606;Pesch;48,1;47,2;48,9;48,4;44,2
607;Esch/Auweiler;44,1;43,4;44,8;44,3;41,3
608;Volkhoven/Weiler;38,2;37,6;38,7;37,8;39,6
609;Chorweiler;39,9;38,3;41,3;38,7;42,0
610;Blumenberg;36,9;36,4;37,4;36,1;40,1
611;Roggendorf/Thenhoven;40,2;39,3;41,1;40,6;38,3
612;Worringen;43,0;42,2;43,8;43,1;42,5
701;Poll;43,4;42,2;44,5;44,5;36,8
702;Westhoven;45,6;44,6;46,6;45,9;43,4
703;Ensen;44,3;43,8;44,8;44,9;40,9
704;Gremberghoven;38,7;38,2;39,3;39,5;37,7
705;Eil;43,8;42,7;44,9;44,9;38,1
706;Porz;42,7;41,4;43,9;43,2;40,8
707;Urbach;44,3;43,0;45,5;45,4;38,5
708;Elsdorf;44,8;42,4;46,8;45,0;42,9
709;Grengel;43,9;42,7;45,1;44,5;40,6
710;Wahnheide;43,6;42,4;44,9;44,2;39,5
711;Wahn;41,4;40,5;42,2;41,9;37,5
712;Lind;44,8;43,7;46,0;45,5;39,9
713;Libur;40,1;39,1;41,3;39,7;50,9
714;Zündorf;45,6;44,7;46,4;46,0;41,7
715;Langel;43,5;43,0;44,0;43,5;42,8
716;Finkenberg;40,8;39,1;42,3;44,9;35,3
801;Humboldt/Gremberg;40,0;39,1;41,0;40,4;39,2
802;Kalk;38,0;37,5;38,6;37,7;38,6
803;Vingst;39,0;37,9;40,0;39,0;39,1
804;Höhenberg;40,5;40,0;40,9;41,2;39,0
805;Ostheim;38,9;38,3;39,6;39,5;37,6
806;Merheim;39,7;39,0;40,3;40,0;38,3
807;Brück;45,5;43,9;47,0;45,9;41,4
808;Rath/Heumar;45,2;44,1;46,2;45,6;40,7
809;Neubrück;44,0;41,3;46,4;46,2;36,8
901;Mülheim;39,7;39,0;40,3;40,1;38,7
902;Buchforst;41,4;39,8;42,9;41,6;40,9
903;Buchheim;40,3;39,4;41,1;40,7;39,1
904;Holweide;41,4;40,4;42,3;41,7;39,7
905;Dellbrück;44,8;43,3;46,1;45,2;40,4
906;Höhenhaus;44,3;43,0;45,5;44,7;41,0
907;Dünnwald;42,1;41,0;43,2;42,8;37,9
908;Stammheim;44,9;43,5;46,2;45,5;41,1
909;Flittard;45,0;43,5;46,3;45,5;41,0
